Payout Date,,,Issued By,Consignor,Payout Type,Total Payout,,,,,,,,,,,,Category,,,,SKU#,Item Name,Date,QTY Sold,Sold Total,Cost Total,Gross Total,NET Total,,,,,Category,,
AE Flower Pot,Crochet Accessories,07-05-2025,16549,$20.00,75.00%,$20.00,,$15.00,,,,,,,,,,,,,,362,Winlit 1969 Brown Floral Leather Jacket (Flawed) B ,2025-07-23 15:07:59,1,$64.99,$26.00,$64.99,$38.99,Jackets,,,,,,
AE White flower hanger,Crochet Accessories,07-10-2025,16737,$25.00,75.00%,$25.00,,$18.75,,,,,,,,,,,,,,0003B0,Harley Davidson Black Jacket w/ Back Hit XS B ,2025-07-23 15:30:32,1,$32.99,$8.00,$32.99,$24.99,Jackets,,,,,,
AE Flower Pot,Crochet Accessories,07-10-2025,16762,$20.00,75.00%,$20.00,,$15.00,,,,,,,,,,,,,,0002X5,Bootleg Affliction Skull Sword Angel Wings Long Sleeve Sac ,2025-07-23 16:23:45,1,$20.00,$0.00,$20.00,$20.00,Long Sleeves,,,,,,
AE Flower Pot,Crochet Accessories,07-11-2025,16777,$20.00,75.00%,$20.00,,$15.00,,,,,,,,,,,,,,0002L8,Polo by Ralph Lauren Yellow Polo Tee XL TO ,2025-07-23 17:15:21,1,$15.99,$9.00,$15.99,$6.99,Tees,,,,,,
AE Strawberry Hanger,Crochet Accessories,07-11-2025,16777,$30.00,75.00%,$30.00,,$22.50,,,,,,,,,,,,,,00036N,Harley Davidson Cropped Red Accent Black Tank Top XL Sac ,2025-07-23 18:05:44,1,$26.99,$15.00,$26.99,$11.99,Tank tops ,,,,,,
AE White flower hanger,Crochet Accessories,07-11-2025,16777,$25.00,75.00%,$25.00,,$18.75,,,,,,,,,,,,,,0002ZL,Rock & Republic Dark Wash Denim Jeans Sac ,2025-07-24 13:02:51,1,$39.99,$20.00,$39.99,$19.99,Jeans ,,,,,,
AE Green Plant Hanger,Crochet Accessories,07-11-2025,16777,$25.00,75.00%,$25.00,,$18.75,,,,,,,,,,,,,,0003AQ,Marc Ecko Egyptian Brown Jacket M B ,2025-07-24 13:02:51,1,$39.99,$8.00,$39.99,$31.99,Jackets,,,,,,
AE Flower Pot,Crochet Accessories,07-16-2025,17004,$20.00,75.00%,$20.00,,$15.00,,,,,,,,,,,,,,337,y2k Jordan Craig Laugh Now Cry Later Black Tee 2XL B ,2025-07-24 13:02:51,1,$29.99,$8.50,$29.99,$21.49,Tees,,,,,,
AE Character Keychain,Keychains,07-16-2025,17029,$18.00,75.00%,$18.00,,$13.50,,,,,,,,,,,,,,0003AU,Ed Hardy Bedazzled Long Sleeve w/ Hood S B ,2025-07-24 14:36:10,1,$33.99,$8.00,$33.99,$25.99,Long Sleeves,,,,,,
Stainless steel ring,Misc. Accessories,07-19-2025,17144,$25.00,75.00%,$25.00,,$18.75,,,,,,,,,,,,,,0003BD,Tommy Innit Black Hoodie w/ Back Graphics 3XL B ,2025-07-24 14:44:22,1,$36.99,$8.00,$36.99,$28.99,Hoodies,,,,,,
AE GIFT Flower M,Crochet Accessories,07-19-2025,17167,$15.00,75.00%,$15.00,,$11.25,,,,,,,,,,,,,,00039I,y2k MMA Elite Red Skulls Tee S B ,2025-07-24 17:27:58,1,$35.99,$8.00,$35.99,$27.99,Tees,,,,,,
AE Ring,Misc. Accessories,07-19-2025,17189,$35.00,75.00%,$35.00,,$26.25,,,,,,,,,,,,,,0002KI,MC squared Einstein White Graphic Tee XL TO ,2025-07-25 12:12:08,1,$19.99,$9.00,$19.99,$10.99,Tees,,,,,,
AE Flower Pot,Crochet Accessories,07-22-2025,17344,$20.00,75.00%,$20.00,,$15.00,,,,,,,,,,,,,,00036D,Adventure Bound by Wilsons Brown Leather Coat w/ Fur Trim L B ,2025-07-25 12:12:08,1,$109.99,$26.00,$109.99,$83.99,Coats,,,,,,
AE Green Plant Hanger,Crochet Accessories,07-22-2025,17344,$25.00,75.00%,$25.00,,$18.75,,,,,,,,,,,,,,393,Stussy Brown Long Sleeve M B ,2025-07-25 16:22:59,1,$39.99,$8.00,$39.99,$31.99,Long Sleeves,,,,,,
AE Green Plant Hanger,Crochet Accessories,07-23-2025,17373,$25.00,75.00%,$25.00,,$18.75,,,,,,,,,,,,,,00032G,Kid Robot Frosty Beats White Tee 2XL B ,2025-07-25 17:27:36,1,$27.99,$8.50,$27.99,$19.49,Tees,,,,,,
AE Flower Pot,Crochet Accessories,07-25-2025,17446,$20.00,75.00%,$20.00,,$15.00,,,,,,,,,,,,,,0002QD,Miss Me Signature Skinny Bedazzled sz 26 ,2025-07-26 12:30:32,1,$59.99,$10.00,$59.99,$49.99,Jeans ,,,,,,
AE Character Keychain,Keychains,07-25-2025,17491,$18.00,75.00%,$18.00,,$13.50,,,,,,,,,,,,,,0003B6,Ecko Unltd Black Hoodie M B ,2025-07-26 14:49:04,1,$32.99,$8.00,$32.99,$24.99,Hoodies,,,,,,
AE Character Keychain,Keychains,07-26-2025,17516,$18.00,75.00%,$18.00,,$13.50,,,,,,,,,,,,,,00038M,Famous Family Black Tee XL B ,2025-07-26 15:00:55,1,$23.99,$8.00,$23.99,$15.99,Tees,,,,,,
AE L Flower,Crochet Accessories,07-27-2025,17604,$18.00,75.00%,$18.00,,$13.50,,,,,,,,,,,,,,00016E,Ralph Lauren Jeans Co Blue Button Up Long Sleeve ,2025-07-26 15:17:24,1,$20.99,$0.00,$20.99,$20.99,Button Ups,,,,,,
AE Character Keychain,Keychains,07-27-2025,17619,$18.00,75.00%,$18.00,,$13.50,,,,,,,,,,,,,,00039P,y2k Southpole Eagle White Tee L B ,2025-07-26 16:29:35,1,$38.99,$8.00,$38.99,$30.99,Tees,,,,,,
AE Character Keychain,Keychains,07-27-2025,17620,$18.00,75.00%,$18.00,,-$13.50,,,,,,,,,,,,,,00038J,Vigoss Light Wash Flares sz 3 B ,2025-07-26 17:00:47,1,$29.99,$8.00,$29.99,$21.99,Jeans ,,,,,,
AE Ring,Misc. Accessories,07-28-2025,17651,$35.00,75.00%,$35.00,,$26.25,,,,,,,,,,,,,,0002IU,M. Julian Wilson's Tan Leather Jacket L AF ,2025-07-27 12:49:04,1,$79.99,$20.00,$79.99,$59.99,Jackets,,,,,,
AE Flower Pot,Crochet Accessories,07-29-2025,17680,$20.00,75.00%,$20.00,,$15.00,,,,,,,,,,,,,,0003B3,y2k Quiksilver Cream Work Jacket XL B ,2025-07-27 15:43:12,1,$39.99,$8.00,$39.99,$31.99,Jackets,,,,,,
AE Green Plant Hanger,Crochet Accessories,07-29-2025,17680,$25.00,75.00%,$25.00,,$18.75,,,,,,,,,,,,,,00039F,y2k Fubu Green Jacket w/ Red and White Stripe XL B ,2025-07-27 15:58:58,1,$20.00,$8.00,$20.00,$12.00,Jackets,,,,,,
AE Flower Pot,Crochet Accessories,07-29-2025,17690,$20.00,75.00%,$20.00,,$15.00,,,,,,,,,,,,,,0002AB,Tommy Hilfiger Black Jeans GW ,2025-07-27 16:03:55,1,$24.99,$0.00,$24.99,$24.99,Jeans ,,,,,,
AE Character Keychain,Keychains,07-29-2025,17696,$18.00,75.00%,$18.00,,$13.50,,,,,,,,,,,,,,0002KW,Gap Pastel Green Henley Long Sleeve M TO ,2025-07-27 16:09:24,1,$21.99,$9.00,$21.99,$12.99,Long Sleeves,,,,,,
AE GIFT Flower L,Crochet Accessories,07-29-2025,17704,$18.00,75.00%,$18.00,,$13.50,,,,,,,,,,,,,,00039S,Ed Hardy Dragon Olive Fleece Shorts XL B ,2025-07-27 16:21:18,1,$39.99,$8.00,$39.99,$31.99,Shorts/Jorts,,,,,,
AE GIFT Flower M,Crochet Accessories,07-29-2025,17704,$15.00,75.00%,$15.00,,$11.25,,,,,,,,,,,,,,373,Pink Frilly Floral Bag Sac ,2025-07-27 16:41:57,1,$31.99,$15.00,$31.99,$16.99,Bags,,,,,,
AE Character Keychain,Keychains,07-31-2025,17735,$18.00,75.00%,$18.00,,$13.50,,,,,,,,,,,,,,00038K,Rising National Patchwork Full Zip Hoodie Boho M B ,2025-07-28 13:06:45,1,$32.99,$8.00,$32.99,$24.99,Hoodies,,,,,,
,,Total Paid:,,$701.00,33,$21.24,,$423.75,,,,,,,,,,,,,,0002GB,"Alfred Dunner Striped Red, Green, and Cream Sweater Tee L Made in USA AF ",2025-07-28 14:19:03,1,$25.99,$15.00,$25.99,$10.99,Tees,,,,,,
,,,,,,,,,,,,,,,,,,,,,,0002ZG,Liz Claiborne Pink Snakeskin Purse ,2025-07-28 14:34:47,1,$32.99,$15.00,$32.99,$17.99,Bags,,,,,,
07-31-2025,,,Annie Zhou,Andy Zhou - 027,Print List,"$2,379.46",,,,,,,,,,,,,,,,00031N,Vtg Enyce Light Wash Jorts sz 42 B ,2025-07-28 15:05:47,1,$34.99,$8.50,$34.99,$26.49,Shorts/Jorts,,,,,,
Item,,Sold,Sale,Agreed,Cost/Split,Aged Price,Discounts,Amount,,,,,,,,,,,,,,00031M,Delf Light Wash Jorts sz 42 B ,2025-07-28 15:05:48,1,$32.99,$8.50,$32.99,$24.49,Shorts/Jorts,,,,,,
$14 Sale A,Tees,07-11-2025,16774,$14.00,85.00%,$14.00,,$11.90,,,,,,,,,,,,,,368,Wilson's Leather Black Moto Style Leather Jacket L B ,2025-07-28 15:45:03,1,$109.99,$26.00,$109.99,$83.99,Jackets,,,,,,
Fear of God Essentials Polo Bw,Tees,07-11-2025,16806,$19.99,85.00%,$19.99,,$16.99,,,,,,,,,,,,,,00038C,Black Faux Leather Corset B ,2025-07-28 17:31:08,1,$27.99,$8.00,$27.99,$19.99,Lingerie,,,,,,
Military Liner Jacket,Jackets,07-11-2025,16813,$20.00,85.00%,$20.00,,$17.00,,,,,,,,,,,,,,0002Y0,NFL Minnesota Vikings Adrian Peterson #28 Jersey XL WN ,2025-07-29 13:34:08,1,$32.99,$3.00,$32.99,$29.99,Sportswear,,,,,,
Vtg Capricorn Satin Bomber,Jackets,07-12-2025,16855,$14.00,85.00%,$14.00,,$11.90,,,,,,,,,,,,,,0002F3,Julie's Closet Black Lace Tank Top with Bow AF ,2025-07-29 14:03:10,1,$26.99,$15.00,$26.99,$11.99,Tank tops ,,,,,,
Betty Boop Sweater,Sweaters,07-12-2025,16862,$32.95,85.00%,$32.95,,$28.01,,,,,,,,,,,,,,3:00 AM,Element Brown Waffle Knit Long Sleeve B ,2025-07-29 14:39:04,1,$27.99,$8.00,$27.99,$19.99,Long Sleeves,,,,,,
VTG Commes Des Garçon Play Tee Bw,Tees,07-12-2025,16877,$34.99,85.00%,$34.99,,$29.74,,,,,,,,,,,,,,00035V,Vtg Brown Leather Jacket sz 42 Made in Korea B ,2025-07-29 15:04:09,1,$129.99,$26.00,$129.99,$103.99,Jackets,,,,,,
$14 Sale A,Tees,07-12-2025,16883,$14.00,85.00%,$14.00,,$11.90,,,,,,,,,,,,,,0003BC,Delf 28 Black Pullover XL B ,2025-07-29 16:15:42,1,$25.49,$8.00,$25.49,$17.49,Crewnecks,,,,,,
$14 Sale A,Tees,07-12-2025,16885,$14.00,85.00%,$14.00,,$11.90,,,,,,,,,,,,,,0003BP,Black Slip Dress A ,2025-07-29 16:15:42,1,$25.49,$8.00,$25.49,$17.49,Lingerie,,,,,,
$20 Sale A,Jeans ,07-14-2025,16958,$20.00,85.00%,$20.00,,$17.00,,,,,,,,,,,,,,0003C7,Y2K Grim Reaper Tee ,2025-07-29 17:16:44,1,$39.99,$0.00,$39.99,$39.99,Tees,,,,,,
80s Moto Leather Jacket Bw,Jackets,07-14-2025,16961,$39.99,85.00%,$39.99,,$33.99,,,,,,,,,,,,,,376,Harley Davidson Skull Joker Style Charcoal Gray Tee M Sac ,2025-07-29 17:40:33,1,$32.99,$15.00,$32.99,$17.99,Tees,,,,,,
Ovo Drake AOP Tee Bw,Tees,07-15-2025,16971,$29.99,85.00%,$29.99,,$25.49,,,,,,,,,,,,,,00038R,Christian Audigier Ed Hardy AOP Skull Blue Tee L B ,2025-07-30 16:17:32,1,$39.99,$8.00,$39.99,$31.99,Tees,,,,,,
J. Crew Trapper Jacket,Jackets,07-15-2025,16980,$29.95,85.00%,$29.95,,$25.46,,,,,,,,,,,,,,315,y2k Ed Hardy Eagle Snake Skull Gray Tee B ,2025-07-30 16:17:33,1,$31.99,$8.50,$31.99,$23.49,Tees,,,,,,
$14 Sale A,Blouses,07-15-2025,16982,$14.00,85.00%,$14.00,,$11.90,,,,,,,,,,,,,,0000QO,Edwin Japan Denim Jeans 38x32 ,2025-07-31 13:09:26,1,$20.00,$0.00,$20.00,$20.00,Jeans ,,,,,,
Harley Davidson Moto Leather Jacket Bw,Jackets,07-16-2025,17010,$64.99,85.00%,$64.99,,$55.24,,,,,,,,,,,,,,0003BK,INC Blue Lace Floral V Neck Long Sleeve S B ,2025-07-31 14:44:23,1,$34.99,$8.00,$34.99,$26.99,Long Sleeves,,,,,,
$14 Sale A,Blouses,07-16-2025,17016,$14.00,85.00%,$14.00,,$11.90,,,,,,,,,,,,,,320,y2k Oneill Gray Waffle Knit Long Sleeve L B ,2025-07-31 16:56:57,1,$29.99,$8.50,$29.99,$21.49,Long Sleeves,,,,,,
Supreme Mike Kelley Ahh Youth! 2018 Tee Bw,Tees,07-16-2025,17022,$69.99,85.00%,$69.99,,$59.49,,,,,,,,,,,,,,00037I,Harley Davidson Eagle Maui Black Tank L Sac ,2025-07-31 17:12:02,1,$23.99,$15.00,$23.99,$8.99,Tank tops ,,,,,,
Burberry Brit Work Shirt Bw,Tees,07-17-2025,17045,$34.99,85.00%,$34.99,,$29.74,,,,,,,,,,,,,,,,,,$38.93,,,,,,,,,,
$14 Sale A,Blouses,07-17-2025,17065,$14.00,85.00%,$14.00,,$11.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,
$14 Sale A,Blouses,07-18-2025,17070,$14.00,85.00%,$14.00,,$11.90,,,,,,,,,,,,,,0002Y2,Daily Cream Tee XL WN ,2025-07-01 14:22:40,1,$24.99,$3.00,$24.99,$21.99,Tees,,,,,,
$14 Sale A,Blouses,07-18-2025,17071,$14.00,85.00%,$14.00,,$11.90,,,,,,,,,,,,,,0002C0,Vtg Morning Sun Birds Creme Crew L Made in USA WN ,2025-07-04 17:22:17,1,$29.99,$0.00,$29.99,$29.99,Crewnecks,,,,,,
$14 Sale A,Tank tops ,07-18-2025,17073,$14.00,85.00%,$14.00,,$11.90,,,,,,,,,,,,,,0002Y3,Lucky Brand One Eyed Jack Graphic Tee L WN ,2025-07-06 16:11:57,1,$24.99,$3.00,$24.99,$21.99,Tees,,,,,,
Y2k Beau Jort,Shorts/Jorts,07-18-2025,17079,$14.95,85.00%,$14.95,,$12.71,,,,,,,,,,,,,,0002XO,Polo Bear by Ralph Lauren White Tee WN ,2025-07-07 18:16:35,1,$21.99,$3.00,$21.99,$18.99,Tees,,,,,,
$14 Sale A,Tank tops ,07-18-2025,17080,$14.00,85.00%,$14.00,,$11.90,,,,,,,,,,,,,,0002XS,Polo Ralph Lauren Camo Tee L WN ,2025-07-12 15:43:18,1,$25.99,$3.00,$25.99,$22.99,Tees,,,,,,
$14 Sale A,Tank tops ,07-18-2025,17086,$14.00,85.00%,$14.00,,$11.90,,,,,,,,,,,,,,0002XV,Honduras Coca Cola Puma White Jersey Long Sleeve XL WN ,2025-07-13 15:35:55,1,$29.99,$3.00,$29.99,$26.99,Long Sleeves,,,,,,
Y2K Abercombie Heavyweight Full Zip Jacket,Jackets,07-18-2025,17101,$34.99,85.00%,$34.99,,$29.74,,,,,,,,,,,,,,0002WW,MBNA America It's All About Freedom White Tee Made in USA Single Stitch WN ,2025-07-13 16:05:53,1,$24.99,$10.00,$24.99,$14.99,Tees,,,,,,
$14 Sale A,Tees,07-18-2025,17104,$14.00,85.00%,$14.00,,$11.90,,,,,,,,,,,,,,0002XU,y2k 2761 Red and Black Skull Tee XL WN ,2025-07-20 13:39:15,1,$27.99,$3.00,$27.99,$24.99,Tees,,,,,,
$14 Sale A,Tees,07-18-2025,17105,$14.00,85.00%,$14.00,,$11.90,,,,,,,,,,,,,,0002Y0,NFL Minnesota Vikings Adrian Peterson #28 Jersey XL WN ,2025-07-29 13:34:08,1,$32.99,$3.00,$32.99,$29.99,Sportswear,,,,,,
$14 Sale A,Tees,07-18-2025,17106,$14.00,85.00%,$14.00,,$11.90,,,,,,,,,,,,,,,,,9,$243.91,$31.00,$27.10,,,,,,,,
$20 Sale A,Jeans ,07-18-2025,17131,$20.00,85.00%,$20.00,,$17.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VTG 49ers Team of the 80s tee,Tees,07-18-2025,17132,$20.00,85.00%,$20.00,,$17.00,,,,,,,,,,,,,,0002ZP,High Sierra Denim Maxi Skirt sz 12 AF ,2025-07-01 12:17:24,1,$29.99,$15.00,$29.99,$14.99,Skirts,,,,,,
$14 Sale A,Tees,07-19-2025,17139,$14.00,85.00%,$14.00,,$11.90,,,,,,,,,,,,,,00029H,y2k Redemption Cross Salvation Blue Tee AF ,2025-07-03 16:43:29,1,$29.99,$8.00,$29.99,$21.99,Tees,,,,,,
Kith Star Was Logo Tee Bw,Tees,07-19-2025,17145,$29.99,85.00%,$29.99,,$25.49,,,,,,,,,,,,,,0002VE,Nautica Jeans Baggy Jorts sz 38 AF ,2025-07-04 16:57:24,1,$32.99,$20.00,$32.99,$12.99,Shorts/Jorts,,,,,,
$14 Sale A,Tees,07-19-2025,17169,$14.00,85.00%,$14.00,,$11.90,,,,,,,,,,,,,,0002EV,Bonworth Yellow Pastel Floral Button Up Tee L AF ,2025-07-04 17:43:55,1,$28.99,$15.00,$28.99,$13.99,Tees,,,,,,
$14 Sale A,Tees,07-19-2025,17170,$14.00,85.00%,$14.00,,$11.90,,,,,,,,,,,,,,0002BF,Home Depot Orange and Black Wilson's Leather Racing Jacket L AF ,2025-07-06 14:39:03,1,$110.00,$50.00,$110.00,$60.00,Jackets,,,,,,
Noah My Choice Tee Bw,Tees,07-19-2025,17192,$29.99,85.00%,$29.99,,$25.49,,,,,,,,,,,,,,0002JV,y2k Paco Jeans Navy Cyber Grunge Tee XL AF ,2025-07-10 18:02:51,1,$29.99,$18.00,$29.99,$11.99,Tees,,,,,,
Noah Striped Tee Bw,Tees,07-19-2025,17192,$29.99,85.00%,$29.99,,$25.49,,,,,,,,,,,,,,0002PS,Nike Blue Windbreaker Quarter Zip AF ,2025-07-11 17:20:34,1,$29.99,$24.00,$29.99,$5.99,Jackets,,,,,,
$20 Sale A,Jeans ,07-19-2025,17203,$20.00,85.00%,$20.00,,$17.00,,,,,,,,,,,,,,0002PR,San Francisco 49ers Super Bowl XXIX 1994 Champs Red Crew XL AF ,2025-07-12 15:17:24,1,$49.99,$24.00,$49.99,$25.99,Crewnecks,,,,,,
$14 Sale A,Blouses,07-19-2025,17204,$14.00,85.00%,$14.00,,$11.90,,,,,,,,,,,,,,0002ZU,Levi's Silver Tab Charcoal Jorts sz 34 Made in USA AF ,2025-07-12 18:10:25,1,$39.99,$20.00,$39.99,$19.99,Shorts/Jorts,,,,,,
Supreme Naomi Campbell Tee Bw,Tees,07-19-2025,17205,$39.99,85.00%,$39.99,,$33.99,,,,,,,,,,,,,,0002QR,Miss Me Mid-Rise Boot sz 30 AF ,2025-07-14 16:01:57,1,$69.99,$24.00,$69.99,$45.99,Jeans ,,,,,,
$14 Sale A,Blouses,07-19-2025,17210,$14.00,85.00%,$14.00,,$11.90,,,,,,,,,,,,,,0002VT,Ralph Lauren Sport White Vest M AF ,2025-07-16 13:56:46,1,$32.99,$20.00,$32.99,$12.99,Vests,,,,,,
VTG Crisca Shirt Bw,Tees,07-20-2025,17228,$29.99,85.00%,$29.99,,$25.49,,,,,,,,,,,,,,0002YY,Blue Asphalt Floral Slit Denim Skirt sz 5 AF ,2025-07-16 15:54:02,1,$32.99,$15.00,$32.99,$17.99,Skirts,,,,,,
$20 Sale A,Shorts/Jorts,07-20-2025,17242,$20.00,85.00%,$20.00,,$17.00,,,,,,,,,,,,,,0002ZN,Levi's Authentic Signature Jorts AF ,2025-07-09 16:36:15,1,$27.99,$15.00,$27.99,$12.99,Shorts/Jorts,,,,,,
Supreme Chair Tee Bw,Tees,07-20-2025,17246,$39.99,85.00%,$39.99,,$33.99,,,,,,,,,,,,,,0002KE,Vtg Looney Tunes Tweety Denim Overalls Shorts 26W/28W AF ,2025-07-18 18:30:10,1,$49.99,$18.00,$49.99,$31.99,Overalls,,,,,,
$14 Sale A,Tees,07-20-2025,17250,$14.00,85.00%,$14.00,,$11.90,,,,,,,,,,,,,,0002VV,y2k Sideout Brown Hoodie S AF ,2025-07-18 17:08:58,1,$37.99,$20.00,$37.99,$17.99,Hoodies,,,,,,
VTG Monsanto Jacket Bw,Jackets,07-20-2025,17292,$29.99,85.00%,$29.99,,$25.49,,,,,,,,,,,,,,0002WG,Vtg SafTbak Camo Jacket L Made in USA AF ,2025-07-19 13:56:17,1,$45.99,$20.00,$45.99,$25.99,Jackets,,,,,,
$14 Sale A,Long Sleeves,07-21-2025,17308,$14.00,85.00%,$14.00,,$11.90,,,,,,,,,,,,,,0002UM,Anchor Blue Relaxed White Denim Jorts sz 33 AF ,2025-07-19 15:04:21,1,$35.99,$20.00,$35.99,$15.99,Shorts/Jorts,,,,,,
VTG Carhartt Vest Forest Green Small Bw,Vests,07-21-2025,17313,$99.99,85.00%,$99.99,,$84.99,,,,,,,,,,,,,,2:00 PM,NFL SF 49ers Superbowl 1989 Chalkline Creme Jacket L AF ,2025-07-19 18:43:00,1,$49.99,$24.00,$49.99,$25.99,Jackets,,,,,,
Supreme Burberry Box Logo Tee Bw,Tees,07-22-2025,17337,$99.99,85.00%,$99.99,,$84.99,,,,,,,,,,,,,,0002JO,Disney Pluto's Devil Dogs K9 Orange Hockey Jersey XL AF ,2025-07-20 16:06:02,1,$54.99,$0.00,$54.99,$54.99,Athleticwear,,,,,,
$14 Sale A,Blouses,07-22-2025,17340,$14.00,85.00%,$14.00,,$11.90,,,,,,,,,,,,,,00034H,LA Dodgers Genuine Merchandise World Series Jacket  3XL AF ,2025-07-22 16:39:33,1,$84.99,$20.00,$84.99,$64.99,Jackets,,,,,,
$20 Sale A,Tees,07-22-2025,17366,$20.00,85.00%,$20.00,,$17.00,,,,,,,,,,,,,,0002VL,Polo Sport Ralph Lauren Red Windbreaker L AF ,2025-07-22 16:40:52,1,$37.99,$20.00,$37.99,$17.99,Jackets,,,,,,
Y2k H.I.P Tank Top,Tank tops ,07-23-2025,17394,$10.00,85.00%,$10.00,,$8.50,,,,,,,,,,,,,,0002IU,M. Julian Wilson's Tan Leather Jacket L AF ,2025-07-27 12:49:04,1,$79.99,$20.00,$79.99,$59.99,Jackets,,,,,,
$14 Sale A,Tees,07-23-2025,17394,$14.00,85.00%,$14.00,,$11.90,,,,,,,,,,,,,,0002GB,"Alfred Dunner Striped Red, Green, and Cream Sweater Tee L Made in USA AF ",2025-07-28 14:19:03,1,$25.99,$15.00,$25.99,$10.99,Tees,,,,,,
$14 Sale A,Tees,07-23-2025,17401,$14.00,85.00%,$14.00,,$11.90,,,,,,,,,,,,,,0002F3,Julie's Closet Black Lace Tank Top with Bow AF ,2025-07-29 14:03:10,1,$26.99,$15.00,$26.99,$11.99,Tank tops ,,,,,,
$14 Sale A,Blouses,07-24-2025,17411,$14.00,85.00%,$14.00,,$11.90,,,,,,,,,,,,,,,,,24,"$1,076.77",$460.00,$44.87,,,,,,,,
$14 Sale A,Blouses,07-25-2025,17470,$14.00,85.00%,$14.00,,$11.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,
$20 Sale A,Tank tops ,07-25-2025,17475,$20.00,85.00%,$20.00,,$17.00,,,,,,,,,,,,,,00034C,Southpole Dark Wash Baggy Jeans sz 44 B ,2025-07-01 13:32:13,1,$45.99,$8.50,$45.99,$37.49,Jeans ,,,,,,
$14 Sale A,Tank tops ,07-25-2025,17478,$14.00,85.00%,$14.00,,$11.90,,,,,,,,,,,,,,341,Carhartt Loose Fit Original B111-BLK 38x36 B ,2025-07-02 16:51:02,1,$44.99,$26.00,$44.99,$18.99,Jeans ,,,,,,
$14 Sale A,Tank tops ,07-26-2025,17505,$14.00,85.00%,$14.00,,$11.90,,,,,,,,,,,,,,331,y2k Phat Farm Navy Tee XL B ,2025-07-03 16:23:15,1,$29.99,$8.50,$29.99,$21.49,Tees,,,,,,
$14 Sale A,Blouses,07-26-2025,17511,$14.00,85.00%,$14.00,,$11.90,,,,,,,,,,,,,,00033C,Harley Davidson Heart Lakewood NJ White Cami M B ,2025-07-03 17:38:44,1,$23.99,$8.50,$23.99,$15.49,Tank tops ,,,,,,
$14 Sale A,Blouses,07-26-2025,17511,$14.00,85.00%,$14.00,,$11.90,,,,,,,,,,,,,,00036A,JT Beckett Black Leather Jacket L B ,2025-07-05 14:11:21,1,$79.99,$26.00,$79.99,$53.99,Jackets,,,,,,
$14 Sale A,Blouses,07-26-2025,17535,$14.00,85.00%,$14.00,,$11.90,,,,,,,,,,,,,,326,y2k Anderson I Hate People Black Tee XL B ,2025-07-05 15:26:36,1,$27.99,$8.50,$27.99,$19.49,Tees,,,,,,
Burberry Brit Quarter Zip Sweater Bw,Sweaters,07-26-2025,17537,$59.99,85.00%,$59.99,,$50.99,,,,,,,,,,,,,,00031O,Southpole Gray Jorts w/ Back Embroidery sz 30 B ,2025-07-06 15:25:32,1,$39.99,$8.50,$39.99,$31.49,Shorts/Jorts,,,,,,
Polo Ralph Lauren Harrington Work Jacket,Jackets,07-26-2025,17537,$59.99,85.00%,$59.99,,$50.99,,,,,,,,,,,,,,00033S,Stussy Maroon Intergalactic Roots Astronaut Tee M B ,2025-07-08 13:49:54,1,$42.99,$8.50,$42.99,$34.49,Tees,,,,,,
$20 Sale A,Tees,07-26-2025,17540,$20.00,85.00%,$20.00,,$17.00,,,,,,,,,,,,,,317,y2k AOP Skull Gray Tee XL B ,2025-07-09 13:14:01,1,$29.99,$8.50,$29.99,$21.49,Tees,,,,,,
$14 Sale A,Tees,07-26-2025,17547,$14.00,85.00%,$14.00,,$11.90,,,,,,,,,,,,,,355,Southpole Dark Wash Jorts sz 38 B ,2025-07-10 14:52:04,1,$34.99,$8.50,$34.99,$26.49,Shorts/Jorts,,,,,,
$14 Sale A,Tees,07-26-2025,17548,$14.00,85.00%,$14.00,,$11.90,,,,,,,,,,,,,,00032U,y2k Skull Boards Dragon Black Tee M B ,2025-07-10 16:49:24,1,$24.99,$8.50,$24.99,$16.49,Tees,,,,,,
$14 Sale A,Tees,07-27-2025,17577,$14.00,85.00%,$14.00,,$11.90,,,,,,,,,,,,,,00033O,Stussy Yellow Tee L B ,2025-07-11 13:02:45,1,$34.99,$8.50,$34.99,$26.49,Tees,,,,,,
Camo cap,Hats,07-27-2025,17607,$15.00,85.00%,$15.00,,$12.75,,,,,,,,,,,,,,327,Billabong Black Tee L B ,2025-07-11 16:46:26,1,$24.99,$8.50,$24.99,$16.49,Tees,,,,,,
$14 Sale A,Blouses,07-27-2025,17618,$14.00,85.00%,$14.00,,$11.90,,,,,,,,,,,,,,00036H,Brown Leather Jacket B ,2025-07-11 18:22:19,1,$69.99,$26.00,$69.99,$43.99,Jackets,,,,,,
Y2K Ralph Lauren Jorts,Shorts/Jorts,07-27-2025,17623,$34.99,85.00%,$34.99,,$29.74,,,,,,,,,,,,,,347,Carhartt Original Dungaree Olive B111 MOS 34x32 B ,2025-07-12 14:58:25,1,$59.99,$26.00,$59.99,$33.99,Jeans ,,,,,,
$14 Sale A,Blouses,07-29-2025,17669,$14.00,85.00%,$14.00,,$11.90,,,,,,,,,,,,,,00032O,Billabong Black and White Swim Shorts sz 34 B ,2025-07-12 15:03:56,1,$27.99,$8.50,$27.99,$19.49,Shorts/Jorts,,,,,,
